Date, Open, High, Low, Close, Volume
11/21/19,18.4,18.5,16.9,18.4,1300
11/20/19,16.9,16.9,16.5,16.9,9800
11/18/19,15.4,15.4,15.4,15.4,9300
11/14/19,16.8,16.8,16.8,16.8,400
11/13/19,16.8,16.8,16.8,16.8,300
11/12/2019,18.2,18.5,16.8,18.2,3900
11/11/2019,18.1,18.4,16.8,18.1,500
11/08/2019,17.5,17.5,17.5,17.5,1000
11/07/2019,18.5,18.65,18,18.5,700
11/06/2019,17.45,18.65,17.3,17.45,1000
11/05/2019,17,17.3,17,17,3300
11/04/2019,15.8,16.1,15.5,15.8,400
11/01/2019,15.2,17,15,15.2,900
10/31/19,16.05,17.05,15.5,16.05,1700
10/30/19,15.5,16.5,15,15.5,6400
10/29/19,15.75,16.2,15.5,15.75,300
10/28/19,16.3,16.45,16.2,16.3,400
10/25/19,16.4,16.45,16,16.4,600
10/24/19,16.5,16.5,16.5,16.5,400
10/23/19,16.5,16.5,16.5,16.5,1700
10/22/19,15.35,16.5,15,15.35,2600
10/18/19,15.05,16,15,15.05,12400
10/17/19,16.6,17.5,16.15,16.6,3700
10/16/19,16.5,17.9,16.05,16.5,1300
10/15/19,17.8,18.2,17.4,17.8,400
10/11/2019,17.5,17.5,17.5,17.5,200
10/09/2019,18.5,18.5,18.5,18.5,100
10/08/2019,16.85,17.5,16.05,16.85,3800
10/07/2019,17.15,17.75,17,17.15,400
10/04/2019,17.55,17.75,17.5,17.55,400
10/02/2019,17.5,17.5,17.5,17.5,300
10/01/2019,17.5,17.5,17.5,17.5,100
09/30/19,16.25,17,16.05,16.25,500
09/27/19,16.2,17.5,16.05,16.2,4000
09/25/19,17,17,17,17,1000
09/24/19,17.25,17.25,17.25,17.25,100
09/23/19,15.85,16,15.7,15.85,400
09/20/19,16,16,16,16,700
09/19/19,15.7,16,15,15.7,3300
09/18/19,15.15,16,15,15.15,3600
09/17/19,15.45,16,15,15.45,1700
09/16/19,16.5,16.5,16.5,16.5,800
09/13/19,16.6,16.6,16.6,16.6,600
09/12/2019,16.9,16.9,16.9,16.9,300
09/11/2019,16.4,16.9,15.5,16.4,1400
09/10/2019,16.9,17,16.8,16.9,200
09/09/2019,16.85,16.9,16.8,16.85,400
09/06/2019,17,17,17,17,200
09/05/2019,17.3,18.5,17,17.3,2700
09/04/2019,17.1,17.5,16.9,17.1,300
09/03/2019,17.5,17.5,17.5,17.5,500
08/30/19,17.05,17.5,17,17.05,700
08/29/19,16.9,16.9,16.9,16.9,300
08/28/19,17.25,17.5,16.9,17.25,600
08/27/19,17.4,17.5,17.2,17.4,300
08/26/19,17,17,17,17,8000
08/23/19,17,17.2,17,17,8800
